comment,author,date,num_likes
들으면서 화학!🤘🏻🤓,주부구구단,2022-11-30T11:43:05Z,1
대박,Jooyoung Kim,2022-11-29T21:07:09Z,1
아...이...마..스...쿨럭,앙!큼?윙!크,2022-11-28T07:31:44Z,0
르르땅 사랑해!~!~!!~,ᄋᄉᄋ,2022-11-27T17:59:07Z,1
이거듣고 주며들었습니다..,솜비,2022-11-27T06:54:16Z,1
뉴르르 춤 보고 왔으면 개추 ㅋㅋ,ᄉvᄉ,2022-11-23T14:38:33Z,6
옴팡지게 잘어울린다 목소리랑 노래랑 가사...까지,배범,2022-11-23T09:38:21Z,1
나이 여든먹고도 눈물이 멈추질 않았읍니다,황호연,2022-11-21T13:36:10Z,3
가사가 너무 희망적이고 긍정적이라서 오히려 PTSD 오무니다.,vex adrian,2022-11-21T09:59:34Z,0
wwwwwww,TOUR,2022-11-19T10:18:13Z,2
르르땅 너무 멋있다..,Hwang,2022-11-19T02:40:52Z,1
주르르 최고;;,김승환,2022-11-18T16:07:00Z,0
사람들이 얼마나 많으면 비듬이 쏟아지냐... ㅋㅋ 농담임다,SILV WAT,2022-11-17T05:07:33Z,0
르르땅 밝은 목소리랑 이 곡은 너무 잘 어울려,Junter,2022-11-16T21:50:49Z,1
힘이 되는 노래,성용현,2022-11-10T11:28:58Z,3
최고다 르르땅!!!!,이파리,2022-11-09T17:10:26Z,1
오늘따라 왜 더 좋냐,정재욱,2022-11-09T14:48:37Z,2
들을수록 진국😭 주존사,뭉뭉,2022-11-08T06:46:35Z,2
1:33,박지성,2022-11-03T07:32:12Z,0
Wwwwwwwwwwwwwwww,제미니,2022-10-31T09:22:01Z,2
르르땅 너무 좋다 킹아!!,류예준,2022-10-31T04:23:29Z,3
아 노래 왤케좋냐 이거 ㅋㅋㅋㅋㅋ 진짜 들을수록 더좋네,4PF,2022-10-30T14:47:16Z,6
"1:32 들로~에서 ""로"" 끝처리 너무 좋다",상상,2022-10-27T23:51:24Z,6
주씨 잠꼬대 그만하고 와서 벽돌날라~,제티,2022-10-27T10:38:43Z,3
어푸.. 주이언티스트를 돌고 돌아 결국은 주스터피스에 정착하게 돼버리는 wwwwwww 이 노래만 들으면 왜 이렇게 가슴이 벅차냐,주폭도,2022-10-25T22:25:04Z,14
키야 이런거 좋다,정재명,2022-10-25T20:44:09Z,3
음색과 가사가 너무 예뻐서 계속 듣는 중,able,2022-10-24T09:34:38Z,5
4:04 자막 오류인가용??,ㅇㅅㅇ,2022-10-24T08:54:48Z,4
르르땅 사랑행,박박,2022-10-24T04:00:15Z,3
"이번 어푸도 너무 좋았지만 내겐 이 마스터피스가 너무 짱킹아
이 노래만 들으면 뭔가 벅차오르는 느낌이 있다 ㅠㅠ",예승희,2022-10-23T13:46:08Z,17
"2:14
너에게 하고 싶은 말
나, 널 만나서 다행인 마음 담아
'고마워요, 다시 또 잘 부탁해'",뭉뭉,2022-10-22T10:45:48Z,3
음색이 치트네,KANG,2022-10-20T11:01:26Z,3
르르땅이 직접춘게 너무 귀여움ㅋㅋㅋㅋ,감자달인,2022-10-19T16:23:50Z,16
언제 들어도 최고야...,정재욱,2022-10-18T13:16:37Z,2
감동... 언제나 응원합니다 르르땅.. !! ㅠ,노루,2022-10-17T15:10:09Z,2
뢴르옆 릴파,chocolate cosmos,2022-10-15T17:39:59Z,0
진짜 평생들을것 같냐ㅋㅋ 여태까지 수백번 들었는디ㅋㅋ,es,2022-10-15T17:07:32Z,5
오늘도듣는다,gota,2022-10-15T05:59:55Z,2
"대학 시절 학교 선배에게 들킨 곡인가 ㅋㅋㅋ
근데 이 노래를 일본어로 노래방에서 불렀다는게 경이롭네",ㅇㅅㅇ,2022-10-14T07:45:00Z,3
